sample_id,SessionTime,Time,Date,Driver,LapNumber,X,Y,Z,x_aligned,x_aligned,y_aligned,y_aligned,proj_x,proj_y,s_m,s_unwrapped_m,progress,d_m,d_raw,d_smooth,d_final,w_left,w_right,track_width,left_margin,right_margin,x_ref,y_ref,ref_heading,curvature,turn_sign,tangent_x,tangent_y,normal_x,normal_y,ds_dt,dd_dt,d2d_dt2,Speed,RPM,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,DriverAhead,DistanceToDriverAhead,Status,Source
28,0 days 00:56:14.787000,0 days 00:00:05.800000,2025-07-06 14:03:55.400,COL,1.0,-357.0,2679.0000000000005,1986.0,143.00540058978913,143.00540058978913,153.75703884199862,153.75703884199862,124.5996944456798,167.06755750571403,206.77801451964575,206.77801451964575,0.035125679253195305,-22.714311034244915,-22.714311034244915,-22.71431103424494,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.17541700475633,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,4.263256414559632e-13,0.0,0.0,0.0,0.0,2,0.0,False,1,0.0,,12,114.75278065777776,OnTrack,interpolation
29,0 days 00:56:14.987000,0 days 00:00:06,2025-07-06 14:03:55.600,COL,1.0,-357.0,2679.0000000000005,1986.0000000000005,143.00540058978913,143.00540058978913,153.75703884199862,153.75703884199862,124.5996944456798,167.06755750571403,206.77801451964575,206.77801451964575,0.035125679253195305,-22.714311034244915,-22.714311034244915,-22.714311034244943,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.17541700475633,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,-7.105427357599386e-14,0.0,0.0,0.0,0.0,2,0.0,False,1,0.0,,12,124.16833635555554,OnTrack,interpolation
30,0 days 00:56:15.187000,0 days 00:00:06.200000,2025-07-06 14:03:55.800,COL,1.0,-357.0,2679.0,1985.9999999999998,143.00540058978913,143.00540058978913,153.75703884199856,153.75703884199856,124.59969444567979,167.067557505714,206.77801451964572,206.77801451964572,0.0351256792531953,-22.714311034244943,-22.714311034244943,-22.71431103424492,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.1754170047563,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,-7.105427357599386e-14,0.0,0.0,0.0,0.0,2,0.0,False,1,0.0,,12,134.10278101333336,OnTrack,interpolation
31,0 days 00:56:15.387000,0 days 00:00:06.400000,2025-07-06 14:03:56.000,COL,1.0,-357.0,2679.0,1985.9999999999998,143.00540058978913,143.00540058978913,153.75703884199856,153.75703884199856,124.59969444567979,167.067557505714,206.77801451964572,206.77801451964572,0.0351256792531953,-22.714311034244943,-22.714311034244943,-22.71431103424492,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.1754170047563,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,2.131628207279816e-13,0.0,0.0,0.0,0.0,2,0.0,False,1,0.0,,12,144.24389219555556,OnTrack,interpolation
32,0 days 00:56:15.587000,0 days 00:00:06.600000,2025-07-06 14:03:56.200,COL,1.0,-357.0000000000001,2679.000000000001,1986.0000000000005,143.00540058978913,143.00540058978913,153.75703884199868,153.75703884199868,124.59969444567983,167.06755750571406,206.7780145196458,206.7780145196458,0.03512567925319531,-22.714311034244876,-22.714311034244876,-22.71431103424491,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488095,163.17541700475635,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,0.0,0.0,0.0,0.0,0.0,2,0.0,False,1,0.0,,12,154.57722552888887,OnTrack,interpolation
33,0 days 00:56:15.787000,0 days 00:00:06.800000,2025-07-06 14:03:56.400,COL,1.0,-356.99999999999994,2678.9999999999995,1985.9999999999995,143.00540058978913,143.00540058978913,153.75703884199856,153.75703884199856,124.59969444567979,167.067557505714,206.77801451964572,206.77801451964572,0.0351256792531953,-22.714311034244943,-22.714311034244943,-22.714311034244915,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.1754170047563,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,0.0,0.0,0.0,0.0,0.0,2,0.0,False,1,0.0,,12,165.44139242666665,OnTrack,interpolation
34,0 days 00:56:15.987000,0 days 00:00:07,2025-07-06 14:03:56.600,COL,1.0,-357.00000000000006,2679.000000000001,1986.0000000000011,143.00540058978913,143.00540058978913,153.75703884199868,153.75703884199868,124.59969444567983,167.06755750571406,206.7780145196458,206.7780145196458,0.03512567925319531,-22.714311034244876,-22.714311034244876,-22.714311034244915,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488095,163.17541700475635,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,4.97379915031957e-13,0.0,0.0,0.0,0.0,2,0.0,False,1,0.0,,12,176.88361493333335,OnTrack,interpolation
35,0 days 00:56:16.187000,0 days 00:00:07.200000,2025-07-06 14:03:56.800,COL,1.0,-356.99999999999966,2679.0000000000023,1986.0000000000018,143.0054005897892,143.0054005897892,153.7570388419988,153.7570388419988,124.59969444567992,167.06755750571418,206.77801451964592,206.77801451964592,0.03512567925319533,-22.714311034244854,-22.714311034244854,-22.714311034244922,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488103,163.17541700475647,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,-2.131628207279816e-13,0.0,0.0,0.0,0.0,2,0.0,False,1,0.0,,12,188.8280593777778,OnTrack,interpolation
36,0 days 00:56:16.387000,0 days 00:00:07.400000,2025-07-06 14:03:57.000,COL,1.0,-357.00000000000006,2679.0,1985.9999999999995,143.00540058978913,143.00540058978913,153.75703884199856,153.75703884199856,124.59969444567979,167.067557505714,206.77801451964572,206.77801451964572,0.0351256792531953,-22.714311034244943,-22.714311034244943,-22.714311034244915,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.1754170047563,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,-4.97379915031957e-13,0.0,0.0,0.0,0.0,2,0.0,False,1,0.0,,12,200.79500387555558,OnTrack,interpolation
37,0 days 00:56:16.587000,0 days 00:00:07.600000,2025-07-06 14:03:57.200,COL,1.0,-357.00000000000006,2679.0,1986.0000000000002,143.00540058978913,143.00540058978913,153.75703884199856,153.75703884199856,124.59969444567979,167.067557505714,206.77801451964572,206.77801451964572,0.0351256792531953,-22.714311034244943,-22.714311034244943,-22.71431103424492,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.1754170047563,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,7.105427357607464e-14,0.0,0.0,0.0,0.0,2,0.0,False,1,0.0,,12,213.0736151466667,OnTrack,interpolation
38,0 days 00:56:16.787000,0 days 00:00:07.800000,2025-07-06 14:03:57.400,COL,1.0,-357.00000000000006,2679.0000000000005,1986.0,143.00540058978913,143.00540058978913,153.75703884199862,153.75703884199862,124.5996944456798,167.06755750571403,206.77801451964575,206.77801451964575,0.035125679253195305,-22.714311034244915,-22.714311034244915,-22.71431103424493,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.17541700475633,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,7.105427357599386e-14,0.0,0.0,0.0,0.0,2,0.0,False,1,0.0,,12,225.6847262577778,OnTrack,interpolation
39,0 days 00:56:16.987000,0 days 00:00:08,2025-07-06 14:03:57.600,COL,1.0,-356.99999999999983,2679.0,1985.9999999999998,143.0054005897892,143.0054005897892,153.75703884199856,153.75703884199856,124.5996944456798,167.06755750571403,206.77801451964575,206.77801451964575,0.035125679253195305,-22.714311034244997,-22.714311034244997,-22.714311034244936,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.17541700475633,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,1.4210854715198773e-13,0.0,0.0,0.0,0.0,2,0.0,False,1,0.0,,12,238.2438234488889,OnTrack,interpolation
40,0 days 00:56:17.187000,0 days 00:00:08.200000,2025-07-06 14:03:57.800,COL,1.0,-357.0000000000001,2679.000000000001,1986.0000000000007,143.00540058978913,143.00540058978913,153.75703884199868,153.75703884199868,124.59969444567983,167.06755750571406,206.7780145196458,206.7780145196458,0.03512567925319531,-22.714311034244876,-22.714311034244876,-22.714311034244943,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488095,163.17541700475635,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,-7.105427357599386e-14,0.0,0.0,0.0,0.0,2,0.0,False,1,0.0,,12,250.75771233777778,OnTrack,interpolation
41,0 days 00:56:17.387000,0 days 00:00:08.400000,2025-07-06 14:03:58.000,COL,1.0,-356.99999999999994,2678.9999999999995,1985.9999999999995,143.00540058978913,143.00540058978913,153.75703884199856,153.75703884199856,124.59969444567979,167.067557505714,206.77801451964572,206.77801451964572,0.0351256792531953,-22.714311034244943,-22.714311034244943,-22.714311034244947,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.1754170047563,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,-1.4210854715198773e-13,0.0,0.0,0.0,0.0,2,0.0,False,1,0.0,,55,263.1197258666666,OnTrack,interpolation
42,0 days 00:56:17.587000,0 days 00:00:08.600000,2025-07-06 14:03:58.200,COL,1.0,-356.9999999999999,2678.9999999999995,1985.9999999999995,143.0054005897892,143.0054005897892,153.75703884199856,153.75703884199856,124.5996944456798,167.06755750571403,206.77801451964575,206.77801451964575,0.035125679253195305,-22.714311034244997,-22.714311034244997,-22.714311034244943,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.17541700475633,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,0.0,0.0,0.0,0.0,0.0,2,0.0,False,1,0.0,,55,274.5086147555556,OnTrack,interpolation
43,0 days 00:56:17.787000,0 days 00:00:08.800000,2025-07-06 14:03:58.400,COL,1.0,-357.00000000000006,2679.0,1986.0000000000005,143.00540058978913,143.00540058978913,153.75703884199856,153.75703884199856,124.59969444567979,167.067557505714,206.77801451964572,206.77801451964572,0.0351256792531953,-22.714311034244943,-22.714311034244943,-22.714311034244947,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.1754170047563,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,1.4210854715198773e-13,0.0,0.0,0.0,0.0,2,0.0,False,1,0.0,,55,285.8158369422222,OnTrack,interpolation
44,0 days 00:56:17.987000,0 days 00:00:09,2025-07-06 14:03:58.600,COL,1.0,-356.9999999999999,2679.0000000000005,1985.9999999999998,143.0054005897892,143.0054005897892,153.75703884199862,153.75703884199862,124.59969444567983,167.06755750571406,206.77801451964578,206.7780145196458,0.03512567925319531,-22.714311034244957,-22.714311034244957,-22.714311034244943,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488095,163.17541700475635,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,-1.4210854715198773e-13,0.0,0.0,0.0,0.0,2,0.0,False,1,0.0,,55,297.0119480177778,OnTrack,interpolation
45,0 days 00:56:18.187000,0 days 00:00:09.200000,2025-07-06 14:03:58.800,COL,1.0,-357.0,2678.999999999999,1986.0,143.00540058978913,143.00540058978913,153.7570388419985,153.7570388419985,124.59969444567976,167.06755750571395,206.77801451964567,206.77801451964567,0.03512567925319529,-22.714311034244968,-22.714311034244968,-22.714311034244943,-6.642,6.581,6.642,13.223,13.223,0.0,129.9818321548809,163.17541700475624,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,-1.4210854715198773e-13,0.0,0.0,0.0,0.0,2,0.0,False,1,0.0,,55,307.81009369066663,OnTrack,interpolation
46,0 days 00:56:18.387000,0 days 00:00:09.400000,2025-07-06 14:03:59.000,COL,1.0,-357.0,2679.0000000000005,1986.0000000000005,143.00540058978913,143.00540058978913,153.75703884199862,153.75703884199862,124.5996944456798,167.06755750571403,206.77801451964575,206.77801451964575,0.035125679253195305,-22.714311034244915,-22.714311034244915,-22.714311034244947,-6.642,6.581,6.642,13.223,13.223,0.0,129.98183215488092,163.17541700475633,0.9446960095048704,-3.844480647254769e-06,-1.0,0.585989235314319,0.8103188360736406,-0.8103188360736406,0.585989235314319,1.4210854715198773e-13,0.0,0.0,0.0,0.0,2,0.0,False,1,0.0,,22,317.73139159111105,OnTrack,interpolation
